in html, has emoji, sent to list, from .com, has my name, has sig, # sentences, # words, is spam
False,False,True,True,False,False,5,34,False
False,True,True,True,True,True,5,65,False
True,False,False,True,False,True,0,74,True
False,False,False,False,True,True,8,13,False
True,False,False,False,False,True,4,85,False
True,False,False,False,False,True,4,109,False
True,False,False,False,False,False,2,73,False
True,False,True,False,True,False,7,74,False
True,False,False,True,True,False,12,36,False
False,False,False,False,False,True,7,37,False
True,False,False,True,True,False,6,73,False
True,False,False,False,False,False,6,52,False
True,True,False,False,True,False,6,62,False
False,False,False,True,False,False,1,67,True
True,False,False,True,False,True,4,79,True
True,False,False,True,True,False,5,-8,False
True,False,True,True,True,False,8,39,False
False,False,False,True,False,True,4,94,False
True,False,False,False,False,True,6,69,True
True,False,False,True,True,False,8,27,False
True,False,True,False,False,True,2,55,False
True,True,False,False,False,True,3,72,True
True,True,False,False,True,False,8,83,False
False,False,False,True,False,False,6,75,False
False,False,False,False,True,False,4,113,False
False,False,True,False,False,True,14,57,False
False,False,False,False,True,False,4,89,False
True,False,False,False,False,True,3,73,False
False,True,False,True,False,True,4,70,False
True,False,False,False,True,False,8,76,False
False,False,False,False,True,False,3,57,False
False,False,False,False,True,False,6,59,False
True,False,True,False,True,False,4,59,False
True,False,False,False,False,True,7,56,False
True,False,True,False,False,False,4,54,False
False,False,False,False,True,False,2,54,False
False,False,True,False,True,False,12,90,False
True,False,False,False,True,True,7,67,True
False,False,True,False,False,True,5,41,False
True,False,False,False,True,False,4,49,False
True,False,False,True,True,False,5,62,False
True,False,True,False,True,False,7,87,False
False,False,True,False,True,False,5,66,False
True,True,True,False,True,True,10,57,False
False,False,False,False,True,False,3,55,False
True,False,False,True,False,False,2,66,True
False,True,True,False,True,False,5,118,False
False,False,False,False,True,True,4,106,False
False,False,False,False,True,False,4,49,False
True,True,False,True,True,True,6,71,True
False,False,False,True,True,False,5,93,False
True,True,True,False,True,False,7,96,False
True,False,False,False,True,False,4,108,False
False,False,False,False,True,False,4,73,False
True,False,True,False,False,True,4,39,False
True,False,False,True,True,False,2,76,True
False,False,False,False,False,True,13,103,False
True,False,True,False,True,False,8,56,False
False,False,False,False,False,True,7,68,False
True,False,False,False,True,False,5,93,False
False,False,False,False,False,True,4,53,False
False,False,False,True,True,False,1,112,False
False,True,False,False,True,False,7,118,False
True,False,False,True,True,False,11,44,False
True,False,False,False,False,True,7,85,False
True,False,False,False,False,True,9,81,True
False,False,False,True,True,False,10,59,False
False,True,False,False,False,True,6,49,False
True,False,False,False,True,False,6,63,True
True,False,False,False,True,True,2,76,False
True,False,False,True,True,False,2,76,True
True,False,False,True,True,False,6,67,True
False,False,False,False,False,True,4,57,False
True,False,True,False,False,True,7,101,False
True,False,False,True,False,True,5,69,True
True,False,False,True,False,False,4,61,True
True,False,False,False,False,True,5,53,False
True,False,False,True,False,False,3,85,True
False,False,False,False,True,False,4,80,False
