in html, has emoji, sent to list, from .com, has my name, has sig, # sentences, # words, is spam
False,False,False,False,False,True,8,75,True
True,False,False,True,True,False,7,87,False
True,False,False,True,False,True,1,82,True
True,False,False,True,False,False,8,106,False
True,False,True,True,False,False,8,42,False
True,False,False,True,True,True,6,93,False
True,False,True,False,False,True,4,80,False
False,False,False,True,True,False,6,29,False
True,False,True,False,True,False,6,27,False
True,False,False,True,True,False,6,58,False
True,False,False,False,True,False,5,47,False
False,False,True,True,True,False,4,118,False
True,True,True,False,True,False,6,77,False
False,False,False,True,False,True,3,108,False
True,False,False,True,True,False,7,76,False
True,False,True,True,True,False,5,103,False
True,False,False,False,True,False,8,28,False
True,False,False,False,False,False,5,71,True
True,True,False,False,True,False,5,57,False
True,True,False,True,False,True,4,56,False
True,False,True,False,False,True,9,35,False
True,False,False,False,False,False,3,26,False
False,False,False,True,False,True,2,55,True
False,True,False,True,True,False,5,49,False
True,False,False,False,True,False,4,87,False
True,False,False,True,True,False,2,65,True
False,False,False,True,False,False,7,1,False
False,False,False,True,True,False,4,28,False
True,False,False,True,True,False,8,117,False
False,False,True,False,False,True,7,37,False
False,False,True,False,True,False,6,124,False
False,True,False,False,True,False,2,56,False
True,False,True,True,True,True,8,62,False
False,False,False,False,False,True,3,47,False
False,False,False,True,False,True,2,65,True
True,False,False,False,False,True,5,63,False
True,False,False,False,True,False,6,60,False
True,False,False,True,False,True,3,62,True
True,False,False,True,True,False,6,63,True
True,False,False,False,True,False,6,75,False
True,False,False,True,False,True,5,61,False
True,False,True,True,False,True,10,58,False
True,True,False,False,False,False,3,63,True
True,True,True,True,False,False,8,63,False
False,False,False,True,False,True,3,75,False
False,True,False,True,False,True,2,75,True
True,True,False,True,True,False,4,82,True
False,False,False,True,False,True,9,2,False
True,False,False,False,False,True,8,19,False
True,False,True,False,True,True,7,100,False
True,True,False,False,True,False,2,92,False
False,True,False,False,False,True,4,71,True
False,False,False,False,False,True,5,60,False
True,False,True,False,True,True,8,71,False
True,False,False,True,False,True,4,75,True
False,False,False,True,False,False,6,51,False
True,True,False,False,True,True,4,124,False
True,False,False,False,True,False,2,73,False
False,True,False,False,False,True,6,67,False
False,False,False,True,True,False,4,0,False
True,True,False,True,False,False,3,53,False
False,False,False,False,True,False,7,70,False
False,False,False,True,False,True,3,61,True
True,False,True,False,True,False,6,102,False
False,False,False,False,False,True,1,45,True
False,False,False,True,False,True,4,66,True
True,False,True,False,True,False,8,89,False
False,False,False,True,False,True,4,105,False
True,False,False,True,False,False,7,89,False
False,False,False,True,False,False,8,47,False
False,False,True,True,True,False,3,93,False
True,False,True,True,True,False,9,92,False
False,False,False,True,False,True,1,85,True
False,True,False,False,True,False,8,121,False
True,False,False,False,False,False,10,70,False
True,False,True,False,False,True,5,88,False
True,True,False,False,False,True,5,63,False
False,False,False,False,True,False,6,96,False
False,False,True,False,False,True,4,111,False
True,False,False,False,True,False,8,96,False
True,False,True,True,False,True,9,71,False
True,False,True,False,False,False,5,43,False
True,False,False,True,False,True,6,59,False
True,False,True,False,True,False,6,76,False
False,False,False,False,False,True,5,19,False
True,False,False,True,False,True,3,64,True
True,False,False,True,False,False,4,69,True
False,True,False,False,True,False,6,6,False
True,False,False,False,False,True,6,97,False
True,True,False,False,False,True,6,56,False
True,False,False,False,False,False,5,67,False
True,False,False,False,False,False,4,78,False
True,False,False,False,False,True,6,57,False
True,False,False,False,True,False,6,63,False
True,True,False,False,True,False,4,33,False
False,False,True,False,False,False,7,77,False
False,True,True,False,False,True,9,75,False
False,False,True,False,True,False,6,53,False
True,False,False,True,False,True,7,-7,False
False,True,False,True,False,True,7,108,False
True,False,False,False,True,False,7,92,False
False,False,False,True,False,True,2,62,True
True,True,False,True,True,False,12,83,False
False,False,False,True,False,True,7,41,False
False,True,False,True,True,False,6,122,False
False,False,False,False,False,True,10,44,False
False,False,False,True,True,True,2,64,True
False,False,False,True,False,False,7,80,True
True,False,False,False,False,False,10,39,False
False,False,True,False,False,True,5,76,False
True,True,False,False,False,False,6,64,False
True,False,False,False,True,True,5,57,False
False,True,False,True,True,False,5,68,True
True,False,False,False,False,True,6,47,False
True,False,False,False,True,False,6,67,False
False,False,False,True,True,False,8,75,False
True,True,False,False,False,True,9,67,True
True,True,False,False,False,False,3,87,False
False,False,True,False,False,True,4,63,False
True,False,False,False,False,True,6,54,False
True,False,False,False,True,False,10,98,False
True,False,False,True,False,True,8,78,True
False,True,False,False,True,False,10,51,False
True,False,False,False,False,True,7,74,True
True,False,True,False,True,False,7,83,False
True,False,True,True,False,False,5,143,False
False,True,False,False,True,True,7,121,False
False,True,False,False,False,True,5,76,False
False,False,True,False,False,True,6,46,False
True,True,False,True,True,False,9,46,False
True,False,False,False,True,False,6,65,False
False,False,True,False,True,False,5,23,False
True,False,False,True,False,True,3,73,True
True,False,False,False,False,True,1,71,True
False,False,False,False,True,False,7,56,False
True,False,False,True,True,True,3,71,True
False,False,False,False,False,True,12,49,False
True,False,False,False,False,False,7,91,False
False,True,False,True,True,False,7,30,False
True,False,False,False,True,False,8,74,False
False,False,False,True,True,False,3,70,False
False,False,False,True,True,False,3,40,False
False,True,True,False,True,False,5,70,False
True,False,False,False,False,False,8,59,False
False,False,False,True,True,False,7,63,False
False,True,False,False,True,False,2,105,False
True,True,False,True,True,False,6,101,False
True,True,True,False,False,True,10,64,False
True,False,False,False,False,True,6,17,False
False,False,False,True,False,False,9,69,False
True,False,False,True,True,False,6,79,True
True,False,False,True,False,False,3,73,True
True,False,False,False,True,True,8,83,False
True,False,True,False,True,False,5,87,False
False,True,False,True,False,False,4,83,True
False,False,False,False,False,True,6,75,True
True,False,False,False,False,True,4,85,False
False,False,False,True,True,False,10,41,False
False,False,False,False,True,False,8,121,False
True,False,False,False,False,False,4,71,True
True,False,True,False,False,True,4,46,False
True,True,False,False,False,False,7,114,False
True,False,False,True,True,False,7,77,False
True,False,False,True,False,True,3,60,True
False,True,False,False,True,False,6,82,False
True,False,True,False,True,False,5,98,False
True,False,False,True,True,False,9,78,False
True,False,False,False,True,False,6,53,False
True,False,True,False,True,False,15,84,False
True,False,True,True,False,False,5,28,False
True,False,False,True,False,True,4,1,False
True,True,False,False,False,True,7,70,False
False,False,True,False,True,False,6,31,False
False,True,False,True,True,False,4,105,False
False,False,False,True,True,True,3,69,True
True,False,True,False,True,True,11,64,False
True,False,False,True,False,True,6,51,False
False,False,True,False,True,True,6,95,False
False,True,True,True,True,False,6,38,False
True,False,True,False,False,True,6,100,False
False,True,False,True,True,False,9,81,False
False,False,False,False,False,True,8,38,False
True,True,False,True,False,True,2,68,True
True,False,True,False,False,False,5,37,False
True,False,True,True,True,False,6,105,False
False,False,False,False,False,False,5,98,False
False,False,False,False,True,False,3,60,False
False,True,False,False,False,True,5,52,False
True,False,False,True,False,True,4,89,True
True,False,False,True,True,False,5,72,False
True,False,False,True,False,False,1,48,True
False,False,True,False,True,False,7,49,False
True,False,False,False,False,False,7,88,False
True,False,True,False,False,True,5,47,False
False,False,False,True,False,True,7,67,True
False,False,False,False,True,False,2,113,False
True,False,True,False,False,False,9,61,False
True,False,False,True,False,True,8,37,False
False,True,False,False,False,True,5,62,False
False,False,False,False,True,False,5,134,False
